City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,ha'il,27.5219,41.6907,13.010000000000048,28,0,3.09,SA,1702337078
142,ilulissat,69.2167,-51.1,3.0100000000000477,60,100,7.72,GL,1702337078
143,sungai penuh,-2.0833,101.3833,17.83000000000004,96,98,0.38,ID,1702337078
144,usogorsk,63.4106,48.6872,-15.739999999999952,92,100,5.14,RU,1702337078
145,the pas,53.8251,-101.2541,-7.989999999999952,67,100,10.29,CA,1702337078
146,samthar,25.85,78.9167,15.060000000000002,46,0,1.41,IN,1702337078
147,jamestown,42.097,-79.2353,0.7700000000000387,75,100,3.6,US,1702336988
148,weno,7.4515,151.8468,26.970000000000027,94,100,2.06,FM,1702337079
149,puerto ayora,-0.7393,-90.3518,25.04000000000002,79,63,3.56,EC,1702337079
150,kill devil hills,36.0307,-75.676,7.770000000000039,65,0,4.12,US,1702337079
151,port saint john's,-31.6229,29.5448,20.189999999999998,87,99,1.93,ZA,1702337079
152,togur,58.3631,82.8265,-31.029999999999973,96,69,2.68,RU,1702337079
153,tobelo,1.7284,128.0095,27.439999999999998,82,13,2.4,ID,1702337079
154,lagoa,39.05,-27.9833,15.610000000000014,60,3,6.85,PT,1702337080
155,sarlat-la-caneda,44.889,1.2166,14.03000000000003,97,100,1.78,FR,1702337080
156,zvishavane,-20.3267,30.0665,20.110000000000014,90,99,1.67,ZW,1702337080
157,nizhneudinsk,54.9076,99.0276,-34.359999999999985,99,11,0.71,RU,1702337080
158,longyearbyen,78.2186,15.6401,-6.089999999999975,68,75,4.63,SJ,1702336955
159,kolasin,42.8223,19.5165,2.2100000000000364,79,100,1.9,ME,1702337080
160,marabba,12.35,32.1833,26.439999999999998,12,98,4.18,SD,1702337081
161,upper dir,35.2058,71.8756,4.770000000000039,34,36,3.07,PK,1702337081
162,lerik,38.7726,48.4128,1.8000000000000114,97,100,1.63,AZ,1702337081
163,hamilton,39.1834,-84.5333,2.7600000000000477,72,0,2.06,US,1702336841
164,sol'-iletsk,51.1631,54.9918,-23.099999999999966,75,10,6.68,RU,1702337081
165,ola,59.5833,151.2833,-7.649999999999977,89,100,5.14,RU,1702337081
166,mount gambier,-37.8333,140.7667,24.420000000000016,60,60,3.76,AU,1702336804
167,villa gesell,-37.2639,-56.973,20.03000000000003,85,68,7.42,AR,1702337081
168,la foa,-21.7108,165.8276,26.810000000000002,50,92,2.65,NC,1702337082
169,isafjordur,66.0755,-23.124,-4.579999999999984,81,91,1.39,IS,1702336818
170,kununurra,-15.7667,128.7333,31.99000000000001,58,95,2.57,AU,1702337079
171,north bend,43.4065,-124.2243,12.360000000000014,87,100,4.63,US,1702337082
172,nar'yan-mar,67.6713,53.087,-14.169999999999959,92,100,8.08,RU,1702337082
173,madalena,41.2162,-8.3345,16.53000000000003,86,100,2.18,PT,1702337082
174,pangody,65.85,74.4859,-27.20999999999998,89,100,5.41,RU,1702337082
175,naantali,60.4674,22.0243,-7.539999999999964,86,100,3.6,FI,1702337083
176,al artawiyah,26.5053,45.3444,17.720000000000027,27,91,4.39,SA,1702337083
177,selfoss,63.9331,-20.9971,-2.75,91,58,2.67,IS,1702337083
178,eenhana,-17.4667,16.3333,25.480000000000018,33,44,2.72,NA,1702336891
179,kuta,-8.7233,115.1723,26.970000000000027,83,20,3.13,ID,1702337083
180,altay,47.8667,88.1167,-8.409999999999968,96,100,0.59,CN,1702337083
181,saint joseph,39.7686,-94.8466,6.970000000000027,52,0,2.09,US,1702337084
182,flekkefjord,58.2971,6.6607,1.6400000000000432,81,96,2.81,NO,1702336944
183,hadibu,12.65,54.0333,24.33000000000004,70,64,4.6,YE,1702337084
184,kirensk,57.7853,108.1119,-32.79999999999998,99,98,0.45,RU,1702337084
185,maile,-38.9466,-72.3727,15.340000000000032,61,65,3.08,CL,1702337084
186,holualoa,19.6228,-155.9522,26.970000000000027,80,40,4.12,US,1702337084
187,lebu,-37.6167,-73.65,14.730000000000018,76,100,2.72,CL,1702337084
188,altar,30.7,-111.8167,22.970000000000027,8,100,2.29,MX,1702337085
189,fuman,37.2273,49.3142,12.600000000000023,90,98,0.74,IR,1702337085
190,huarmey,-10.0681,-78.1522,21.480000000000018,80,8,4.3,PE,1702337085
191,dowlatabad,32.7998,51.6955,-1.17999999999995,59,0,2.06,IR,1702337085
192,pangoa,-12.1167,-73.0,22.99000000000001,97,92,0.67,PE,1702337085
193,kingisepp,59.3733,28.6134,-4.560000000000002,95,99,3.09,RU,1702337085
194,abu al matamir,30.9102,30.1744,15.270000000000039,72,0,2.0,EG,1702337085
195,chipata,-13.6333,32.65,22.460000000000036,65,98,4.9,ZM,1702337086
196,lorengau,-2.0226,147.2712,29.160000000000025,79,96,5.18,PG,1702337086
197,dakoro,14.5106,6.765,16.660000000000025,34,0,5.72,NE,1702337086
198,cestos city,5.46,-9.5828,26.82000000000005,81,31,1.71,LR,1702337086
199,khanty-mansiysk,61.0042,69.0019,-38.93999999999997,60,20,1.0,RU,1702337086
200,saipan,15.1355,145.701,29.390000000000043,74,40,5.66,MP,1702337086
201,klyuchi,52.2667,79.1667,-24.269999999999982,87,31,6.4,RU,1702337086
202,port lincoln,-34.7333,135.8667,19.49000000000001,57,72,5.91,AU,1702337086
203,gorontalo,0.5412,123.0595,25.55000000000001,90,25,1.32,ID,1702337087
